layer,reporter_code,reporter,partner_code,partner,trade_value_usd,weight_marketshare,source,weight_binary,weight_log,from,to
layer2_backend,BEL,Belgium,CHN,China,93818053.089,5.463958155876716e-4,Comtrade,1,18.356867869752026,BEL,CHN
layer2_backend,BEL,Belgium,CZE,Czechia,27220394.691999998,9.739671429620292e-5,Comtrade,1,17.119477091893103,BEL,CZE
layer2_backend,BEL,Belgium,DEU,Germany,699648630.5889999,0.007252033270387268,Comtrade,1,20.3660888121133,BEL,DEU
layer2_backend,BEL,Belgium,DNK,Denmark,24244527.222,1.0168859643601136e-4,Comtrade,1,17.00370150955726,BEL,DNK
layer2_backend,BEL,Belgium,FIN,Finland,17554229.639,1.2781764446187423e-4,Comtrade,1,16.680805540876644,BEL,FIN
layer2_backend,BEL,Belgium,FRA,France,133181421.42000002,9.957221246607174e-4,Comtrade,1,18.70722283502221,BEL,FRA
layer2_backend,BEL,Belgium,GBR,United Kingdom,91921651.43800001,8.56010626785964e-4,Comtrade,1,18.3364471682579,BEL,GBR
layer2_backend,BEL,Belgium,HKG,"China, Hong Kong SAR",87891353.928,5.093535799126207e-4,Comtrade,1,18.291612006601316,BEL,HKG
layer2_backend,BEL,Belgium,HUN,Hungary,57766950.5,3.6632216367751965e-4,Comtrade,1,17.871927396761482,BEL,HUN
layer2_backend,BEL,Belgium,IND,India,8135625.627,2.5095037242322415e-5,Comtrade,1,15.911763324187477,BEL,IND
layer2_backend,BEL,Belgium,IRL,Ireland,10511437.884000001,4.380826423605499e-5,Comtrade,1,16.167974639666923,BEL,IRL
layer2_backend,BEL,Belgium,ISR,Israel,96110750.444,8.397133637786732e-4,Comtrade,1,18.381011745351778,BEL,ISR
layer2_backend,BEL,Belgium,ITA,Italy,169572534.01500002,0.0017091268648332725,Comtrade,1,18.948791328438368,BEL,ITA
layer2_backend,BEL,Belgium,JPN,Japan,57884336.845,2.604882105057428e-4,Comtrade,1,17.873957402409953,BEL,JPN
layer2_backend,BEL,Belgium,KOR,Rep. of Korea,41471082.243999995,1.3670066436434283e-4,Comtrade,1,17.54050695302923,BEL,KOR
layer2_backend,BEL,Belgium,MEX,Mexico,24162986.358000003,9.033606271945289e-5,Comtrade,1,17.000332572310832,BEL,MEX
layer2_backend,BEL,Belgium,MYS,Malaysia,63406392,1.9974412936411262e-4,Comtrade,1,17.965075250285995,BEL,MYS
layer2_backend,BEL,Belgium,NLD,Netherlands,68601182.14299999,0.0018483338587205241,Comtrade,1,18.043820339529894,BEL,NLD
layer2_backend,BEL,Belgium,NOR,Norway,15989474.425999999,6.830823642133238e-5,Comtrade,1,16.58744127789301,BEL,NOR
layer2_backend,BEL,Belgium,PHL,Philippines,88939302.38800001,2.8216555074016015e-4,Comtrade,1,18.30346471063477,BEL,PHL
layer2_backend,BEL,Belgium,SGP,Singapore,16068238.088000001,5.6420023965948805e-5,Comtrade,1,16.592355154111623,BEL,SGP
layer2_backend,BEL,Belgium,SWE,Sweden,76491278.215,3.5795574158866864e-4,Comtrade,1,18.152687295109047,BEL,SWE
layer2_backend,BEL,Belgium,THA,Thailand,35112762.391,1.2940202593059248e-4,Comtrade,1,17.374075251712174,BEL,THA
layer2_backend,BEL,Belgium,USA,USA,62336562.199,0.0018463422893583716,Comtrade,1,17.948058700835084,BEL,USA
layer2_backend,BEL,Belgium,VNM,Viet Nam,4324053.140000001,1.863183828147503e-5,Comtrade,1,15.279703978476912,BEL,VNM
layer2_backend,CAN,Canada,BEL,Belgium,2559266.08,1.274011855718725e-4,Comtrade,1,14.755231478589971,CAN,BEL
layer2_backend,CAN,Canada,CHE,Switzerland,1548915.213,4.777762244422257e-6,Comtrade,1,14.253066026909565,CAN,CHE
layer2_backend,CAN,Canada,CHN,China,77470704.687,0.0012272765031156442,Comtrade,1,18.165410431731434,CAN,CHN
layer2_backend,CAN,Canada,DEU,Germany,31331328.98,3.2788190754866906e-4,Comtrade,1,17.260129112713614,CAN,DEU
layer2_backend,CAN,Canada,DNK,Denmark,1173689.362,5.049631013087446e-6,Comtrade,1,13.975663498416091,CAN,DNK
layer2_backend,CAN,Canada,FRA,France,10584687.798,2.259037526996331e-4,Comtrade,1,16.174919061835485,CAN,FRA
layer2_backend,CAN,Canada,GBR,United Kingdom,10934330.400999999,4.31032186639143e-4,Comtrade,1,16.207418067196716,CAN,GBR
layer2_backend,CAN,Canada,HKG,"China, Hong Kong SAR",107150050.183,0.0013921629890045499,Comtrade,1,18.4897407575599,CAN,HKG
layer2_backend,CAN,Canada,IND,India,3321923.1840000004,4.494346998759283e-5,Comtrade,1,15.016054746498796,CAN,IND
layer2_backend,CAN,Canada,ITA,Italy,4263361.085,5.0471341824114504e-5,Comtrade,1,15.265568628804754,CAN,ITA
layer2_backend,CAN,Canada,JPN,Japan,10263870.721,7.140492753657979e-5,Comtrade,1,16.144140687245496,CAN,JPN
layer2_backend,CAN,Canada,KOR,Rep. of Korea,11018309.963000001,8.653971496485181e-5,Comtrade,1,16.215069079796784,CAN,KOR
layer2_backend,CAN,Canada,MEX,Mexico,34854984.742,7.455001178376675e-4,Comtrade,1,17.36670674783642,CAN,MEX
layer2_backend,CAN,Canada,MYS,Malaysia,17738315.247,1.6305273737204728e-4,Comtrade,1,16.691237617545262,CAN,MYS
layer2_backend,CAN,Canada,NLD,Netherlands,78316194.26300001,2.8137119112729285e-4,Comtrade,1,18.176264975627046,CAN,NLD
layer2_backend,CAN,Canada,PHL,Philippines,1454094.003,1.8043177059321635e-4,Comtrade,1,14.189894274005747,CAN,PHL
layer2_backend,CAN,Canada,SGP,Singapore,111337787.097,4.3221846930515377e-4,Comtrade,1,18.528079274319676,CAN,SGP
layer2_backend,CAN,Canada,SWE,Sweden,17411934.055,5.370860872960458e-5,Comtrade,1,16.672666451748448,CAN,SWE
layer2_backend,CAN,Canada,THA,Thailand,31830969.879,7.517147878348408e-4,Comtrade,1,17.275950300803782,CAN,THA
layer2_backend,CAN,Canada,TWN,Chinese Taipei,5434073878,0.003042316905976653,OECD_BTIGE,1,22.415954943551927,CAN,TWN
layer2_backend,CAN,Canada,USA,USA,624434522.036,0.01911236012536609,Comtrade,1,20.25235703501306,CAN,USA
layer2_backend,CAN,Canada,VNM,Viet Nam,1046964.769,4.504416533301026e-6,Comtrade,1,13.86140679495335,CAN,VNM
layer2_backend,CHE,Switzerland,AUT,Austria,20584121.435000002,0.001241911128605462,Comtrade,1,16.840030580992487,CHE,AUT
layer2_backend,CHE,Switzerland,BEL,Belgium,1191527.09,5.931464691901174e-5,Comtrade,1,13.99074715056826,CHE,BEL
layer2_backend,CHE,Switzerland,CAN,Canada,3278018.168,1.0111329082543278e-5,Comtrade,1,15.002749885736783,CHE,CAN
layer2_backend,CHE,Switzerland,CHN,China,188356816.12800002,0.0026533834733446383,Comtrade,1,19.05384868538416,CHE,CHN
layer2_backend,CHE,Switzerland,CZE,Czechia,40937582.32900001,0.019918592533822645,Comtrade,1,17.52755910687523,CHE,CZE
layer2_backend,CHE,Switzerland,DEU,Germany,242594574.02800006,0.014345237946296567,Comtrade,1,19.306902192427,CHE,DEU
layer2_backend,CHE,Switzerland,DNK,Denmark,1522612.778,6.550824224571978e-6,Comtrade,1,14.235939006808447,CHE,DNK
layer2_backend,CHE,Switzerland,FIN,Finland,1366907.724,5.880925446386703e-6,Comtrade,1,14.128062342445347,CHE,FIN
layer2_backend,CHE,Switzerland,FRA,France,66437812.11,0.004148217500841262,Comtrade,1,18.01177692690576,CHE,FRA
layer2_backend,CHE,Switzerland,GBR,United Kingdom,8437281.031,1.125789654775619e-4,Comtrade,1,15.948170780466272,CHE,GBR
layer2_backend,CHE,Switzerland,HKG,"China, Hong Kong SAR",91035550.73,0.0010778541718603801,Comtrade,1,18.326760666537854,CHE,HKG
layer2_backend,CHE,Switzerland,HUN,Hungary,7105655.102,2.5664054207010486e-5,Comtrade,1,15.77640165895154,CHE,HUN
layer2_backend,CHE,Switzerland,IND,India,20296939.024,3.606369912865251e-4,Comtrade,1,16.825980694915952,CHE,IND
layer2_backend,CHE,Switzerland,IRL,Ireland,7388407.915,5.274241768273752e-4,Comtrade,1,15.815422967307764,CHE,IRL
layer2_backend,CHE,Switzerland,ISR,Israel,1845853.995,7.94152343930281e-6,Comtrade,1,14.428453140038739,CHE,ISR
layer2_backend,CHE,Switzerland,ITA,Italy,19466508.929,6.497407498053062e-4,Comtrade,1,16.784206107505465,CHE,ITA
layer2_backend,CHE,Switzerland,JPN,Japan,9295189.292,3.99912256522621e-5,Comtrade,1,16.045007651440226,CHE,JPN
layer2_backend,CHE,Switzerland,KOR,Rep. of Korea,17667456.822,7.601171210986453e-5,Comtrade,1,16.687234964222945,CHE,KOR
layer2_backend,CHE,Switzerland,MEX,Mexico,3422545.557,1.4725013915847221e-5,Comtrade,1,15.045895439266243,CHE,MEX
layer2_backend,CHE,Switzerland,MYS,Malaysia,19565673.263,6.62534699237339e-4,Comtrade,1,16.789287275746855,CHE,MYS
layer2_backend,CHE,Switzerland,NLD,Netherlands,31924978.301,0.0011558272500348324,Comtrade,1,17.278899311519314,CHE,NLD
layer2_backend,CHE,Switzerland,NOR,Norway,1010597.418,4.347951194669597e-6,Comtrade,1,13.82605320643203,CHE,NOR
layer2_backend,CHE,Switzerland,PHL,Philippines,22471566.52,3.0833575796058944e-4,Comtrade,1,16.927761402298003,CHE,PHL
layer2_backend,CHE,Switzerland,SGP,Singapore,5705083.486,8.10175260871509e-5,Comtrade,1,15.556868350283471,CHE,SGP
layer2_backend,CHE,Switzerland,SWE,Sweden,62983628.966,0.003691177100170023,Comtrade,1,17.958385408781552,CHE,SWE
layer2_backend,CHE,Switzerland,THA,Thailand,53645301.89,0.0021609118388206576,Comtrade,1,17.797904472229607,CHE,THA
layer2_backend,CHE,Switzerland,USA,USA,97164601.122,0.004463602081354212,Comtrade,1,18.391917027403004,CHE,USA
layer2_backend,CHE,Switzerland,VNM,Viet Nam,99722421.239,3.265912656157126e-4,Comtrade,1,18.417901106727754,CHE,VNM
layer2_backend,CHN,China,AUT,Austria,32301308,0.0024574827057954832,Comtrade,1,17.290618313687506,CHN,AUT
layer2_backend,CHN,China,BEL,Belgium,133606988,0.007250654271714702,Comtrade,1,18.7104131305728,CHN,BEL
layer2_backend,CHN,China,CAN,Canada,140087833,0.0069144207533862675,Comtrade,1,18.757780169563723,CHN,CAN
layer2_backend,CHN,China,CHE,Switzerland,141870986,0.0018701549379977374,Comtrade,1,18.770428660337345,CHN,CHE
layer2_backend,CHN,China,CZE,Czechia,162845409,0.003052498187425653,Comtrade,1,18.90831190384257,CHN,CZE
layer2_backend,CHN,China,DEU,Germany,2544410528,0.13264086451587082,Comtrade,1,21.657164840867576,CHN,DEU
layer2_backend,CHN,China,DNK,Denmark,39738633,0.002757879625801603,Comtrade,1,17.49783442106989,CHN,DNK
layer2_backend,CHN,China,FIN,Finland,33304307,0.0023726946713773555,Comtrade,1,17.321197315952546,CHN,FIN
layer2_backend,CHN,China,FRA,France,674768341,0.0196677169751681,Comtrade,1,20.329879992894185,CHN,FRA
layer2_backend,CHN,China,GBR,United Kingdom,325383655,0.02786406895251351,Comtrade,1,19.60051552407536,CHN,GBR
layer2_backend,CHN,China,HKG,"China, Hong Kong SAR",66879268152,1.2405874044751979,Comtrade,1,24.926154862974588,CHN,HKG
layer2_backend,CHN,China,HUN,Hungary,141427944,0.005098232311771712,Comtrade,1,18.767300922734858,CHN,HUN
layer2_backend,CHN,China,IND,India,4725572424,0.08679590935555447,Comtrade,1,22.27625453870242,CHN,IND
layer2_backend,CHN,China,IRL,Ireland,23608305,0.0016699552026609556,Comtrade,1,16.977109157228806,CHN,IRL
layer2_backend,CHN,China,ISR,Israel,81730598,0.0036724926252960205,Comtrade,1,18.21893901847561,CHN,ISR
layer2_backend,CHN,China,ITA,Italy,167590846,0.013513627124386186,Comtrade,1,18.93703613234912,CHN,ITA
layer2_backend,CHN,China,JPN,Japan,3973598970,0.10539794757007297,Comtrade,1,22.102938062798252,CHN,JPN
layer2_backend,CHN,China,KOR,Rep. of Korea,24112421526,0.25430318369266375,Comtrade,1,23.905992960719878,CHN,KOR
layer2_backend,CHN,China,MEX,Mexico,1246216958,0.0391363379429545,Comtrade,1,20.943378366551855,CHN,MEX
layer2_backend,CHN,China,MYS,Malaysia,12417904553,0.09456179759572808,Comtrade,1,23.242405183758752,CHN,MYS
layer2_backend,CHN,China,NLD,Netherlands,1156286512,0.029699064806183038,Comtrade,1,20.86847942510312,CHN,NLD
layer2_backend,CHN,China,NOR,Norway,7369473,7.38538024978451e-4,Comtrade,1,15.812856891197905,CHN,NOR
layer2_backend,CHN,China,PHL,Philippines,1620091107,0.027142045108043793,Comtrade,1,21.205748224115496,CHN,PHL
layer2_backend,CHN,China,SGP,Singapore,6929714317,0.18850162598591616,Comtrade,1,22.65908442534467,CHN,SGP
layer2_backend,CHN,China,SWE,Sweden,56713603,0.0023898842182359377,Comtrade,1,17.853524669372774,CHN,SWE
layer2_backend,CHN,China,THA,Thailand,1725771890,0.03749158202942714,Comtrade,1,21.268940260387005,CHN,THA
layer2_backend,CHN,China,USA,USA,3345536027,0.13958511445469216,Comtrade,1,21.93089276522197,CHN,USA
layer2_backend,CHN,China,VNM,Viet Nam,13161517632,0.1425564508863798,Comtrade,1,23.300563077851088,CHN,VNM
layer2_backend,CHN,China (People’s Republic of),TWN,Chinese Taipei,227711053136,0.12748615535723504,OECD_BTIGE,1,26.151343351380774,CHN,TWN
layer2_backend,CZE,Czechia,AUT,Austria,19116039,0.004323255975967773,Comtrade,1,16.766038331165966,CZE,AUT
layer2_backend,CZE,Czechia,BEL,Belgium,28122177,7.267518005110204e-4,Comtrade,1,17.15206907567691,CZE,BEL
layer2_backend,CZE,Czechia,CAN,Canada,5383546,1.6606010841673144e-5,Comtrade,1,15.498858008579663,CZE,CAN
layer2_backend,CZE,Czechia,CHE,Switzerland,17013549,0.008406908188375695,Comtrade,1,16.649520643361328,CZE,CHE
layer2_backend,CZE,Czechia,CHN,China,39360491,0.009782880953536705,Comtrade,1,17.4882731300702,CZE,CHN
layer2_backend,CZE,Czechia,DEU,Germany,431812521,0.01876014072470735,Comtrade,1,19.883502075161324,CZE,DEU
layer2_backend,CZE,Czechia,DNK,Denmark,9451729,1.0046543882261733e-4,Comtrade,1,16.06170835149795,CZE,DNK
layer2_backend,CZE,Czechia,FIN,Finland,14613003,7.798760639968113e-4,Comtrade,1,16.497422375185625,CZE,FIN
layer2_backend,CZE,Czechia,FRA,France,131370012,0.008178049069120423,Comtrade,1,18.69352842640283,CZE,FRA
layer2_backend,CZE,Czechia,GBR,United Kingdom,26835164,3.133223844834834e-4,Comtrade,1,17.10522371226058,CZE,GBR
layer2_backend,CZE,Czechia,HKG,"China, Hong Kong SAR",17542432,1.1027424904396538e-4,Comtrade,1,16.68013324680529,CZE,HKG
layer2_backend,CZE,Czechia,HUN,Hungary,43480218,0.00206722864825107,Comtrade,1,17.587816657003128,CZE,HUN
layer2_backend,CZE,Czechia,IRL,Ireland,7072584,2.1815993878875376e-5,Comtrade,1,15.771736600466692,CZE,IRL
layer2_backend,CZE,Czechia,ISR,Israel,6910598,6.637702896035953e-4,Comtrade,1,15.748566877949216,CZE,ISR
layer2_backend,CZE,Czechia,ITA,Italy,75548384,0.007542660443536003,Comtrade,1,18.140283869882733,CZE,ITA
layer2_backend,CZE,Czechia,JPN,Japan,5212006,1.1295008232835947e-4,Comtrade,1,15.466475560280461,CZE,JPN
layer2_backend,CZE,Czechia,KOR,Rep. of Korea,4565556,1.347225818978858e-4,Comtrade,1,15.334051079902004,CZE,KOR
layer2_backend,CZE,Czechia,MYS,Malaysia,8385892,3.6079103795780935e-5,Comtrade,1,15.942061447270603,CZE,MYS
layer2_backend,CZE,Czechia,NLD,Netherlands,191864747,0.004768994847050689,Comtrade,1,19.07230124425938,CZE,NLD
layer2_backend,CZE,Czechia,NOR,Norway,6957420,2.146076061207122e-5,Comtrade,1,15.755319417664467,CZE,NOR
layer2_backend,CZE,Czechia,PHL,Philippines,3650039,1.570377199463676e-5,Comtrade,1,15.110248684402736,CZE,PHL
layer2_backend,CZE,Czechia,SGP,Singapore,39859617,1.3985474341507656e-4,Comtrade,1,17.500874289160603,CZE,SGP
layer2_backend,CZE,Czechia,SWE,Sweden,24814655,0.0019615396804187396,Comtrade,1,17.026945004324478,CZE,SWE
layer2_backend,CZE,Czechia,USA,USA,42663320,0.002426563125084216,Comtrade,1,17.56885011607874,CZE,USA
layer2_backend,DEU,Germany,AUT,Austria,934127041.009,0.038232807220376946,Comtrade,1,20.65512300622492,DEU,AUT
layer2_backend,DEU,Germany,BEL,Belgium,230540334.477,0.003994068327342687,Comtrade,1,19.255936396315228,DEU,BEL
layer2_backend,DEU,Germany,CAN,Canada,100465752.01799999,8.693920847968385e-4,Comtrade,1,18.42532746139943,DEU,CAN
layer2_backend,DEU,Germany,CHE,Switzerland,495197574.913,0.024706410231692056,Comtrade,1,20.02046738415507,DEU,CHE
layer2_backend,DEU,Germany,CHN,China,2735593474.5900006,0.12401457076628668,Comtrade,1,21.72961424218391,DEU,CHN
layer2_backend,DEU,Germany,CZE,Czechia,1027773598.653,0.032934896864010965,Comtrade,1,20.750660745923778,DEU,CZE
layer2_backend,DEU,Germany,DNK,Denmark,197362913.227,0.006756705484750166,Comtrade,1,19.100554796123177,DEU,DNK
layer2_backend,DEU,Germany,FIN,Finland,126116629.475,0.01043630992379157,Comtrade,1,18.652717675466917,DEU,FIN
layer2_backend,DEU,Germany,FRA,France,1176717505.288,0.03319900411459367,Comtrade,1,20.88599462476719,DEU,FRA
layer2_backend,DEU,Germany,GBR,United Kingdom,617236830.8089999,0.030470358557010795,Comtrade,1,20.240763352319227,DEU,GBR
layer2_backend,DEU,Germany,HKG,"China, Hong Kong SAR",931278073.105,0.03315123683906803,Comtrade,1,20.652068473893575,DEU,HKG
layer2_backend,DEU,Germany,HUN,Hungary,2238752078.0680003,0.0669341923124361,Comtrade,1,21.529184440012354,DEU,HUN
layer2_backend,DEU,Germany,IND,India,113872051.00999999,0.007320720328523741,Comtrade,1,18.550586025261985,DEU,IND
layer2_backend,DEU,Germany,IRL,Ireland,153461295.017,0.007875804820001334,Comtrade,1,18.848958949986354,DEU,IRL
layer2_backend,DEU,Germany,ISR,Israel,176540323.244,0.004284527339599295,Comtrade,1,18.98905987421492,DEU,ISR
layer2_backend,DEU,Germany,ITA,Italy,829357051.2309998,0.03723426450566132,Comtrade,1,20.536161322703258,DEU,ITA
layer2_backend,DEU,Germany,JPN,Japan,417569420.96999997,0.007238081547747124,Comtrade,1,19.849961368599836,DEU,JPN
layer2_backend,DEU,Germany,KOR,Rep. of Korea,699110488.506,0.011729344450176262,Comtrade,1,20.365319355669463,DEU,KOR
layer2_backend,DEU,Germany,MEX,Mexico,318746338.5,0.006345993332034319,Comtrade,1,19.5799061704494,DEU,MEX
layer2_backend,DEU,Germany,MYS,Malaysia,1504533023.588,0.03347261679200278,Comtrade,1,21.131748404333845,DEU,MYS
layer2_backend,DEU,Germany,NLD,Netherlands,1812363438.8509998,0.05556971011718517,Comtrade,1,21.317897598324155,DEU,NLD
layer2_backend,DEU,Germany,NOR,Norway,39680017.635000005,0.0014354000605245627,Comtrade,1,17.49635831001289,DEU,NOR
layer2_backend,DEU,Germany,PHL,Philippines,341163092.81299996,0.011245673879787756,Comtrade,1,19.647871201884442,DEU,PHL
layer2_backend,DEU,Germany,SGP,Singapore,825765669.0669999,0.013966970958718376,Comtrade,1,20.531821598824113,DEU,SGP
layer2_backend,DEU,Germany,SWE,Sweden,334735667.446,0.009885012944644628,Comtrade,1,19.628851728911076,DEU,SWE
layer2_backend,DEU,Germany,THA,Thailand,372859103.612,0.005746993553743482,Comtrade,1,19.73671117062335,DEU,THA
layer2_backend,DEU,Germany,TWN,Chinese Taipei,37794510223,0.021159608791859037,OECD_BTIGE,1,24.355429696855428,DEU,TWN
layer2_backend,DEU,Germany,USA,USA,943781606.201,0.05704026534145108,Comtrade,1,20.6654053490406,DEU,USA
layer2_backend,DEU,Germany,VNM,Viet Nam,21036795.247,2.8923846271908764e-4,Comtrade,1,16.861783664610307,DEU,VNM
layer2_backend,DNK,Denmark,AUT,Austria,10544284.509,3.252475280681918e-5,Comtrade,1,16.171094613222014,DNK,AUT
layer2_backend,DNK,Denmark,BEL,Belgium,1207635.646,3.725056056039449e-6,Comtrade,1,14.004175822495492,DNK,BEL
layer2_backend,DNK,Denmark,CAN,Canada,5081608.954,2.400985304323301e-5,Comtrade,1,15.441138689424845,DNK,CAN
layer2_backend,DNK,Denmark,CHE,Switzerland,2191626.476,9.429160202538453e-6,Comtrade,1,14.60015496552711,DNK,CHE
layer2_backend,DNK,Denmark,CHN,China,16334627.224999998,2.4036054113431887e-4,Comtrade,1,16.608797843346004,DNK,CHN
layer2_backend,DNK,Denmark,DEU,Germany,53478922.16000001,6.982893527076299e-4,Comtrade,1,17.794798174617586,DNK,DEU
layer2_backend,DNK,Denmark,FIN,Finland,4525904.551,1.0087431662342654e-4,Comtrade,1,15.325328236862429,DNK,FIN
layer2_backend,DNK,Denmark,FRA,France,39844378.911,9.019403474727003e-4,Comtrade,1,17.500491922163086,DNK,FRA
layer2_backend,DNK,Denmark,GBR,United Kingdom,9599469.838,0.003299542024446578,Comtrade,1,16.07721853387718,DNK,GBR
layer2_backend,DNK,Denmark,HKG,"China, Hong Kong SAR",6024367.672,2.443117610099497e-5,Comtrade,1,15.6113232471204,DNK,HKG
layer2_backend,DNK,Denmark,HUN,Hungary,24782994.777,3.447308696646088e-4,Comtrade,1,17.025668321813672,DNK,HUN
layer2_backend,DNK,Denmark,ISR,Israel,1072181.137,4.612906358643949e-6,Comtrade,1,13.885206510098758,DNK,ISR
layer2_backend,DNK,Denmark,ITA,Italy,2499057.55,8.933624003622778e-6,Comtrade,1,14.731424638914374,DNK,ITA
layer2_backend,DNK,Denmark,JPN,Japan,1020020.393,4.388492200097528e-6,Comtrade,1,13.835334158569925,DNK,JPN
layer2_backend,DNK,Denmark,MEX,Mexico,39427291.463,1.6772519653336887e-4,Comtrade,1,17.489968836567392,DNK,MEX
layer2_backend,DNK,Denmark,NLD,Netherlands,3462856.537,9.395774208470473e-5,Comtrade,1,15.057604683930201,DNK,NLD
layer2_backend,DNK,Denmark,NOR,Norway,19979220.261,5.144653122589277e-4,Comtrade,1,16.810203354499176,DNK,NOR
layer2_backend,DNK,Denmark,SGP,Singapore,1746470.06,7.513938239481711e-6,Comtrade,1,14.37310777280831,DNK,SGP
layer2_backend,DNK,Denmark,SWE,Sweden,18844752.478,7.052672510210623e-4,Comtrade,1,16.751745103037713,DNK,SWE
layer2_backend,DNK,Denmark,THA,Thailand,4558693.085,2.0997172670801115e-5,Comtrade,1,15.33254675560617,DNK,THA
layer2_backend,DNK,Denmark,TWN,Chinese Taipei,2240913452,0.0012545962813371417,OECD_BTIGE,1,21.530149411206853,DNK,TWN
layer2_backend,DNK,Denmark,USA,USA,34807282.852,0.001781163432344206,Comtrade,1,17.365337228935193,DNK,USA
layer2_backend,FIN,Finland,BEL,Belgium,6639844.391,0.0019790499028930334,Comtrade,1,15.708599236693576,FIN,BEL
layer2_backend,FIN,Finland,CHN,China,153988341.577,0.002566935197191363,Comtrade,1,18.852387459960752,FIN,CHN
layer2_backend,FIN,Finland,DEU,Germany,1294886.513,3.994188862436456e-6,Comtrade,1,14.073934386794743,FIN,DEU
layer2_backend,FIN,Finland,FRA,France,5826719.202,1.7973016714224618e-5,Comtrade,1,15.577964827467614,FIN,FRA
layer2_backend,FIN,Finland,HKG,"China, Hong Kong SAR",2369764.841,7.309743548557369e-6,Comtrade,1,14.678301706964325,FIN,HKG
layer2_backend,FIN,Finland,HUN,Hungary,14603494.116999999,5.253383595471382e-5,Comtrade,1,16.496771449604317,FIN,HUN
layer2_backend,FIN,Finland,IND,India,187207656.755,8.072765777860597e-4,Comtrade,1,19.047729027982,FIN,IND
