reporter_code,total_exports,year
BEL,24168.2,2019
BEL,14435024.276,2019
BEL,36050647217.295,2019
BEL,9468670.646,2019
BEL,2906809.194,2019
BEL,1682090.222,2019
BEL,8653991.846,2019
BEL,20787435.941,2019
BEL,123558.516,2019
BEL,239401848.106,2019
BEL,12015664.913,2019
BEL,59398502.517,2019
BEL,1015304428.612,2019
BEL,1343964.576,2019
BEL,318560.549,2019
BEL,1973204.267,2019
BEL,1456430641.324,2019
BEL,6203.403,2019
BEL,15106.128,2019
BEL,3785.482,2019
BEL,206879204.824,2019
BEL,387662103.491,2019
BEL,109552464.198,2019
BEL,7551533.068,2019
BEL,33312417.536,2019
BEL,203258437.967,2019
BEL,394982703.24,2019
BEL,7287811771.787,2019
BEL,1773598186.367,2019
BEL,3806683.03,2019
BEL,392876.247,2019
BEL,237108956.73,2019
BEL,1883518568.453,2019
BEL,3221038189.349,2019
BEL,54562965.551,2019
BEL,758011.792,2019
BEL,326668.716,2019
BEL,59161.063,2019
BEL,2410231.567,2019
BEL,525097.563,2019
BEL,128539.407,2019
BEL,6246798.937,2019
BEL,1026931.595,2019
BEL,1440438700.329,2019
BEL,370235459.289,2019
BEL,382191838.563,2019
BEL,5228006.642,2019
BEL,28126460.535,2019
BEL,6927762732.044,2019
BEL,1205941481.259,2019
BEL,942338468.009,2019
BEL,544506022.481,2019
BEL,517553585.537,2019
BEL,4383411.854,2019
BEL,972017008.919,2019
BEL,14425733.988,2019
BEL,8387589386.196,2019
BEL,1543889.276,2019
BEL,62206287.173,2019
BEL,71204.398,2019
BEL,17525076.493,2019
BEL,2071952.798,2019
BEL,5266489486.86,2019
BEL,5140245172.665,2019
BEL,24227909.446,2019
BEL,5065660.176,2019
BEL,811518010.748,2019
BEL,333413755.362,2019
BEL,35348.755,2019
BEL,23627.136,2019
BEL,29911831.26,2019
BEL,2658066090.822,2019
BEL,331201585.23,2019
BEL,3557529550.795,2019
BEL,10363717.675,2019
BEL,48472.316,2019
BEL,54842447.4,2019
BEL,518804080.129,2019
BEL,143912733.899,2019
BEL,1078587222.401,2019
BEL,18938409379.694,2019
BEL,87245474.543,2019
BEL,3658626577.453,2019
BEL,1235925.118,2019
BEL,23501732152.603,2019
BEL,80654065.109,2019
BEL,42184835.142,2019
BEL,81449333.174,2019
BEL,12588525.84,2019
BEL,187539.243,2019
BEL,94194.888,2019
BEL,68043666.944,2019
BEL,25186130.465,2019
BEL,78410116.821,2019
CAN,12706312.323,2019
CAN,40953042.167,2019
CAN,486763.812,2019
CAN,514187286.633,2019
CAN,1222974.904,2019
CAN,243180.292,2019
CAN,46410778.948,2019
CAN,15969017.039,2019
CAN,8007227.204,2019
CAN,215114226.187,2019
CAN,1705857009.101,2019
CAN,195262382.251,2019
CAN,197669417.183,2019
CAN,163591281.975,2019
CAN,940628549.458,2019
CAN,9212613.085,2019
CAN,30205817.107,2019
CAN,2425980554.019,2019
CAN,34484531.571,2019
CAN,304309.629,2019
