layer,hs_code,hs_desc,year,reporter_code,reporter,partner_code,partner,trade_value_usd,source
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,IRL,Ireland,TWN,Chinese Taipei,1054346890,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,ISR,Israel,TWN,Chinese Taipei,1815773875,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,ITA,Italy,TWN,Chinese Taipei,3485679565,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,JPN,Japan,TWN,Chinese Taipei,66136370916,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,KOR,Korea,TWN,Chinese Taipei,27892544291,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,MEX,Mexico,TWN,Chinese Taipei,1318005251,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,MYS,Malaysia,TWN,Chinese Taipei,17025510292,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,NLD,Netherlands,TWN,Chinese Taipei,14819085865,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,NOR,Norway,TWN,Chinese Taipei,313698132,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,PHL,Philippines,TWN,Chinese Taipei,3738001027,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,SGP,Singapore,TWN,Chinese Taipei,14208478474,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,SWE,Sweden,TWN,Chinese Taipei,809435392,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,THA,Thailand,TWN,Chinese Taipei,6113389351,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,USA,United States,TWN,Chinese Taipei,47495613444,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,VNM,Viet Nam,TWN,Chinese Taipei,8222731377,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,AUT,Austria,TWN,Chinese Taipei,1820482540,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,BEL,Belgium,TWN,Chinese Taipei,1025061068,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,CAN,Canada,TWN,Chinese Taipei,2712472724,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,CHE,Switzerland,TWN,Chinese Taipei,3444435195,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,CHN,China (People’s Republic of),TWN,Chinese Taipei,141534030699,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,CZE,Czechia,TWN,Chinese Taipei,671758421,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,DEU,Germany,TWN,Chinese Taipei,20450687763,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,DNK,Denmark,TWN,Chinese Taipei,1794251229,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,FIN,Finland,TWN,Chinese Taipei,500770699,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,FRA,France,TWN,Chinese Taipei,4955874735,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,GBR,United Kingdom,TWN,Chinese Taipei,3126587857,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,HKG,Hong Kong (China),TWN,Chinese Taipei,1619081232,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,HUN,Hungary,TWN,Chinese Taipei,753490560,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,IND,India,TWN,Chinese Taipei,3405242203,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,IRL,Ireland,TWN,Chinese Taipei,953074298,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,ISR,Israel,TWN,Chinese Taipei,3768704175,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,ITA,Italy,TWN,Chinese Taipei,4440438232,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,JPN,Japan,TWN,Chinese Taipei,83078922786,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,KOR,Korea,TWN,Chinese Taipei,58859805426,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,MEX,Mexico,TWN,Chinese Taipei,3178508988,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,MYS,Malaysia,TWN,Chinese Taipei,22755478748,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,NLD,Netherlands,TWN,Chinese Taipei,19352428546,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,NOR,Norway,TWN,Chinese Taipei,510128851,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,PHL,Philippines,TWN,Chinese Taipei,5575685159,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,SGP,Singapore,TWN,Chinese Taipei,22805974590,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,SWE,Sweden,TWN,Chinese Taipei,1189679525,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,THA,Thailand,TWN,Chinese Taipei,9643491750,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,USA,United States,TWN,Chinese Taipei,63428724654,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,VNM,Viet Nam,TWN,Chinese Taipei,10231740240,OECD_BTIGE
layer1_frontend,280461,Containing by weight not less than 99.99% of silicon,2022,TWN,Chinese Taipei,CHN,China,104909000,Taiwan_ITA
layer1_frontend,280461,Containing by weight not less than 99.99% of silicon,2022,TWN,Chinese Taipei,JPN,Japan,111193000,Taiwan_ITA
layer1_frontend,280461,Containing by weight not less than 99.99% of silicon,2022,TWN,Chinese Taipei,KOR,South Korea,2167000,Taiwan_ITA
layer1_frontend,280461,Containing by weight not less than 99.99% of silicon,2022,TWN,Chinese Taipei,MYS,Malaysia,8857000,Taiwan_ITA
layer1_frontend,280461,Containing by weight not less than 99.99% of silicon,2022,TWN,Chinese Taipei,NOR,Norway,1404000,Taiwan_ITA
layer1_frontend,280461,Containing by weight not less than 99.99% of silicon,2022,TWN,Chinese Taipei,USA,United States,85812000,Taiwan_ITA
layer1_frontend,280461,Containing by weight not less than 99.99% of silicon,2022,TWN,Chinese Taipei,VNM,Vietnam,3629000,Taiwan_ITA
layer1_frontend,381800,Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,2022,TWN,Chinese Taipei,AUT,Austria,11638000,Taiwan_ITA
layer1_frontend,381800,Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,2022,TWN,Chinese Taipei,BEL,Belgium,5715000,Taiwan_ITA
layer1_frontend,381800,Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,2022,TWN,Chinese Taipei,CAN,Canada,1132000,Taiwan_ITA
layer1_frontend,381800,Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,2022,TWN,Chinese Taipei,CHE,Switzerland,1356000,Taiwan_ITA
layer1_frontend,381800,Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,2022,TWN,Chinese Taipei,CHN,China,694895000,Taiwan_ITA
layer1_frontend,381800,Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,2022,TWN,Chinese Taipei,DEU,Germany,95717000,Taiwan_ITA
layer1_frontend,381800,Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,2022,TWN,Chinese Taipei,DNK,Denmark,9092000,Taiwan_ITA
layer1_frontend,381800,Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,2022,TWN,Chinese Taipei,FIN,Finland,1804000,Taiwan_ITA
layer1_frontend,381800,Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,2022,TWN,Chinese Taipei,FRA,France,15974000,Taiwan_ITA
layer1_frontend,381800,Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,2022,TWN,Chinese Taipei,GBR,United Kingdom,22963000,Taiwan_ITA
layer1_frontend,381800,Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,2022,TWN,Chinese Taipei,HKG,Hong Kong SAR China,61491000,Taiwan_ITA
layer1_frontend,381800,Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,2022,TWN,Chinese Taipei,IRL,Ireland,3013000,Taiwan_ITA
layer1_frontend,381800,Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,2022,TWN,Chinese Taipei,ISR,Israel,10094000,Taiwan_ITA
layer1_frontend,381800,Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,2022,TWN,Chinese Taipei,ITA,Italy,15572000,Taiwan_ITA
layer1_frontend,381800,Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,2022,TWN,Chinese Taipei,JPN,Japan,153612000,Taiwan_ITA
