rank,reporter_code,reporter,total_semiconductor_exports,export_share,cumulative_share,selected,selection_reason
98,URY,Uruguay,349007,2.988366552757193e-7,0.9999975634409246,FALSE,not_selected
99,GAB,Gabon,299927.41,2.5681233909322545e-7,0.9999978202532637,FALSE,not_selected
100,NGA,Nigeria,243049.446,2.0811067832237338e-7,0.999998028363942,FALSE,not_selected
101,SEN,Senegal,184631.20500000002,1.5809015796739227e-7,0.9999981864541,FALSE,not_selected
102,PSE,State of Palestine,178362.62099999998,1.527226934870956e-7,0.9999983391767935,FALSE,not_selected
103,COG,Congo,167281.83899999998,1.4323479258333323e-7,0.9999984824115861,FALSE,not_selected
104,AGO,Angola,140428.914,1.2024202082984476e-7,0.9999986026536068,FALSE,not_selected
105,BRN,Brunei Darussalam,133065.73799999998,1.1393731379518228e-7,0.9999987165909207,FALSE,not_selected
106,COD,Dem. Rep. of the Congo,129617.44600000001,1.109847195844816e-7,0.9999988275756403,FALSE,not_selected
107,MNG,Mongolia,122377.601,1.047856145106159e-7,0.9999989323612548,FALSE,not_selected
108,BHS,Bahamas,111477,9.545199328429334e-8,0.9999990278132481,FALSE,not_selected
109,UGA,Uganda,96417.35,8.255719336445509e-8,0.9999991103704415,FALSE,not_selected
110,JAM,Jamaica,84801.51,7.261114995037482e-8,0.9999991829815915,FALSE,not_selected
111,ZMB,Zambia,80395.433,6.883845394838268e-8,0.9999992518200455,FALSE,not_selected
112,RWA,Rwanda,62487.67999999999,5.3504970637091694e-8,0.9999993053250161,FALSE,not_selected
113,ZWE,Zimbabwe,58279.11000000001,4.990138967082531e-8,0.9999993552264058,FALSE,not_selected
114,MDG,Madagascar,44678.958,3.82562824525707e-8,0.9999993934826883,FALSE,not_selected
115,MWI,Malawi,44454.033,3.8063690800575496e-8,0.999999431546379,FALSE,not_selected
116,FJI,Fiji,40660.814,3.4815753427719626e-8,0.9999994663621324,FALSE,not_selected
117,ATG,Antigua and Barbuda,39222.44500000001,3.3584152396759563e-8,0.9999994999462848,FALSE,not_selected
118,SWZ,Eswatini,37639.12,3.222843303521544e-8,0.9999995321747178,FALSE,not_selected
119,BOL,Bolivia (Plurinational State of),37287.13,3.192704219121947e-8,0.99999956410176,FALSE,not_selected
120,SUR,Suriname,36182.27,3.0981007679166896e-8,0.9999995950827677,FALSE,not_selected
121,CYM,Cayman Isds,34899.361,2.988251901107967e-8,0.9999996249652867,FALSE,not_selected
122,PYF,French Polynesia,33248.06999999999,2.8468603876635664e-8,0.9999996534338906,FALSE,not_selected
123,KWT,Kuwait,32876.711,2.8150628359048534e-8,0.999999681584519,FALSE,not_selected
124,NIC,Nicaragua,31431.07,2.691280069035006e-8,0.9999997084973197,FALSE,not_selected
125,MMR,Myanmar,30656.02,2.624916543469202e-8,0.9999997347464851,FALSE,not_selected
126,MOZ,Mozambique,29240.98,2.5037539820646016e-8,0.9999997597840249,FALSE,not_selected
127,MLI,Mali,27875.665999999997,2.3868492010255065e-8,0.9999997836525168,FALSE,not_selected
128,LSO,Lesotho,24167.185,2.0693111407019158e-8,0.9999998043456283,FALSE,not_selected
129,MNE,Montenegro,24059.53,2.060093199479044e-8,0.9999998249465603,FALSE,not_selected
130,BFA,Burkina Faso,23116.623,1.9793569465912617e-8,0.9999998447401297,FALSE,not_selected
131,TLS,Timor-Leste,20968.210000000003,1.7953994457185363e-8,0.9999998626941241,FALSE,not_selected
132,DMA,Dominica,18824.055,1.6118065353778524e-8,0.9999998788121894,FALSE,not_selected
133,PNG,Papua New Guinea,17792.477000000003,1.5234778430662324e-8,0.9999998940469679,FALSE,not_selected
134,DJI,Djibouti,17766.561,1.52125878993603e-8,0.9999999092595557,FALSE,not_selected
135,ETH,Ethiopia,17357.013000000003,1.4861913114915117e-8,0.9999999241214689,FALSE,not_selected
136,BRB,Barbados,16394,1.4037334857438799e-8,0.9999999381588037,FALSE,not_selected
137,MRT,Mauritania,10558.623,9.040803140444981e-9,0.9999999471996068,FALSE,not_selected
138,CMR,Cameroon,10016.114999999998,8.576281580188825e-9,0.9999999557758884,FALSE,not_selected
139,SYC,Seychelles,7654.3189999999995,6.553997737504946e-9,0.9999999623298862,FALSE,not_selected
140,GRD,Grenada,7219.999,6.182111969828795e-9,0.9999999685119981,FALSE,not_selected
141,LAO,Lao People's Dem. Rep.,6643.0999999999995,5.6881431738106424e-9,0.9999999742001413,FALSE,not_selected
142,GUY,Guyana,6351.1140000000005,5.438130653639598e-9,0.9999999796382719,FALSE,not_selected
143,NER,Niger,6012.509,5.148200693324661e-9,0.9999999847864726,FALSE,not_selected
144,TJK,Tajikistan,5885,5.039021327072547e-9,0.9999999898254939,FALSE,not_selected
145,TTO,Trinidad and Tobago,3768.551,3.226815439449545e-9,0.9999999930523094,FALSE,not_selected
146,BEN,Benin,3471.557,2.9725148277226828e-9,0.9999999960248241,FALSE,not_selected
147,ABW,Aruba,1712.85,1.4666249243969772e-9,0.9999999974914491,FALSE,not_selected
148,TON,Tonga,1517.1689999999999,1.2990733980923242e-9,0.9999999987905225,FALSE,not_selected
149,COM,Comoros,428.433,3.668450338524507e-10,0.9999999991573675,FALSE,not_selected
150,ALB,Albania,290.332,2.4859628545991955e-10,0.9999999994059637,FALSE,not_selected
151,BDI,Burundi,226.597,1.9402329917598267e-10,0.9999999995999871,FALSE,not_selected
152,BMU,Bermuda,188.97,1.618052438703312e-10,0.9999999997617923,FALSE,not_selected
153,WSM,Samoa,134.94199999999998,1.1554385996904393e-10,0.9999999998773362,FALSE,not_selected
154,VCT,Saint Vincent and the Grenadines,74.074,6.342573760094679e-11,0.9999999999407619,FALSE,not_selected
155,NPL,Nepal,68.074,5.828824771778021e-11,0.9999999999990502,FALSE,not_selected
156,MDV,Maldives,1.108,9.487231317580939e-13,0.9999999999999989,FALSE,not_selected
